"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"ESTC","NYSE","Elastic N.V","Technology","Software - Application",8942.96,86.03,11.50%,4592665,2060.86,2.23,22.99%,38.22%,77.13%,39.09%,14.04%,12.63%,4.50%,26.20%,2754.97%,16.03%,22.56%,-3.15%,86.20%,6.34%,27.69%,36.58%,34.50%,10.69%
"NUTX","NASD","Nutex Health Inc","Healthcare","Medical Care Facilities",1279.27,186.81,8.33%,189728,137.33,1.38,22.96%,6.14%,41.63%,81.37%,13.48%,77.59%,14.45%,160.46%,417.67%,-13.62%,34.22%,3.70%,41.76%,23.96%,17.16%,16.98%,37.80%,6.72%
"SPCX","NASD","Space Exploration Technologies Corp","Industrials","Aerospace & Defense",1862453.57,141.29,-3.33%,119547747,125881.63,0.95,22.95%,4.45%,,,-5.81%,,10.51%,,,,,76.65%,1.97%,13.18%,16.07%,-0.24%,-0.24%,-1.71%
"ENRD","NASD","Einride AB ADR","Technology","Software - Application",166.15,6.44,7.87%,63956,100.52,0.64,22.90%,20.15%,-41.82%,-40.92%,-40.81%,-40.04%,6.91%,,-17.66%,,,0.00%,55.37%,0.19%,22.73%,-9.82%,-35.48%,7.87%
"ALGS","NASD","Aligos Therapeutics Inc","Healthcare","Biotechnology",42.27,6.77,-3.29%,95168,186.52,0.51,22.87%,17.33%,1.50%,-9.25%,-27.36%,-11.50%,21.38%,-167.52%,90.59%,2778.55%,-2.18%,-0.62%,44.09%,12.51%,28.46%,23.72%,-6.10%,-2.59%
"VIA","NYSE","Via Transportation Inc","Technology","Software - Application",2148.49,26.36,5.23%,909095,1007.38,0.90,22.26%,41.04%,98.05%,43.03%,-9.13%,,8.06%,96.37%,9.93%,26.67%,,3.79%,30.15%,20.54%,26.76%,44.31%,14.82%,1.38%
"SMWB","NYSE","Similarweb Ltd","Technology","Software - Application",789.28,9.01,2.50%,3101750,991.44,3.13,22.09%,23.26%,216.14%,115.55%,20.29%,6.88%,6.46%,252.83%,70.99%,8.76%,96.46%,-27.65%,28.96%,1.74%,25.14%,45.75%,71.05%,1.58%
"ABNB","NASD","Airbnb Inc","Consumer Cyclical","Travel Services",110853.20,185.13,2.80%,5057063,4129.13,1.22,22.09%,24.77%,39.23%,54.86%,36.41%,48.64%,4.99%,30.96%,33.06%,16.54%,22.31%,-3.45%,59.71%,3.19%,18.37%,25.59%,37.68%,2.34%
"MASS","NASD","908 Devices Inc","Healthcare","Medical Devices",417.88,10.11,0.90%,518681,325.95,1.59,21.81%,25.59%,34.08%,53.18%,92.57%,43.40%,9.15%,-399.25%,14.99%,23.31%,-15.07%,1.67%,66.09%,11.01%,24.79%,22.07%,44.24%,0.60%
"ATRO","NASD","Astronics Corp","Industrials","Aerospace & Defense",3973.38,92.61,5.37%,1516129,753.87,2.01,21.79%,29.60%,44.92%,53.99%,113.98%,238.88%,7.79%,67.57%,1986.98%,27.01%,,-10.61%,76.31%,9.72%,26.40%,24.88%,57.59%,6.98%
